# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
55 Cnc e,Confirmed,0.02703,0.00135,0.00135,,,,0.1737,0.00339,0.00339,0.7365478,1.2e-06,1.6e-06,0.015439,1.5e-05,1.5e-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,2022-09-27,170.0,130.0,130.0,2449999.83643,0.0001,0.0001,,,,2455962.0697,0.0018,0.0018,,,,72.4,12.0,12.0,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-1773 e, HD 75732 e","C2H2, Ca, Ca+, Fe, Fe+, H2O, HCN, K, Mg, N, NH3",55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,TOI-1773
G 9-40 b,Confirmed,0.013,0.00198,0.00198,,,,0.17,0.0058,0.0058,5.7459982,2e-06,2e-06,0.0418,0.00064,0.00064,0.0,,,89.03,0.1,0.1,,2019,2022-08-16,,,,,,,2458497.77747,0.00033,0.00032,2459503.32682,0.00042,0.00042,2458500.65047,0.00033,0.00033,,,,0.513,0.042,0.042,,,,3.22,0.49,0.49,440.6,7.6,7.6,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J08585232+2104344 b, EPIC 212048748 b, EPIC 212048748.01, K2-313 b, LSPM J0858+2104 b, TIC 203214081 b, WISE J085852.46+210430.8 b",,G 9-40,134.718109,21.076048,13.8,,10.058,9.433,,27.93,0.04,0.04,0.04,0.11,0.1,0.29,0.02,0.02,0.31,0.01,0.01,M2.5 V,9.9,4.1,2.6,3348.0,32.0,32.0,,,"2MASS J08585232+2104344, EPIC 212048748, K2-313, LSPM J0858+2104, TIC 203214081, WISE J085852.46+210430.8"
GJ 1132 b,Confirmed,0.00522,0.00072,0.00072,,,,0.1035,0.0098,0.0098,1.628931,2.7e-05,2.7e-05,0.0154,0.0015,0.0015,0.0,,,,,,,2015,2018-11-15,,,,,,,,,,2457184.55786,0.00032,0.00032,,,,,,,0.38,0.14,0.14,,,,2.85,0.34,0.34,580.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"CO2, H2, N2, O2",GJ 1132,153.716666684,-47.156666675,13.5,,,,,12.04,0.24,0.24,-0.12,0.15,0.15,0.181,0.019,0.019,0.207,0.016,0.016,M3.5,5.0,0.0,10.0,3270.0,140.0,140.0,,,
GJ 1252 b,Confirmed,0.00415,0.00176,0.00176,,,,0.1053,0.00696,0.00696,0.5182349,5e-06,6.3e-06,0.00916,0.00076,0.00076,,,,85.0,1.8,2.1,,2018,2022-08-22,,,,,,,,,,2458668.09739,0.00029,0.00032,2458668.3375,0.0007,0.0019,,,,0.44,0.17,0.12,,,,3.17,0.85,0.85,997.0,49.0,53.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,GJ 1252,306.925000014,-56.456944459,12.0,,,,,20.38,0.02,0.02,0.1,0.1,0.1,0.381,0.019,0.019,0.391,0.02,0.02,,,,,3458.0,133.0,140.0,,,
GJ 143 c,Confirmed,0.01164,nan,0.0,,,,0.07958,0.00517,0.00571,7.78993,0.00044,0.00051,0.0695,0.0023,0.0021,,,,88.9,0.37,0.5,,2018,2020-03-06,,,,,,,,,,2458332.29123,0.00092,0.0021,,,,,,,0.42,0.18,0.11,,,,1.43,1.43,0.0,703.0,24.0,24.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"TOI  186.02, HD 21749 c",,GJ 143,51.745833353,-63.499166689,8.3,,,,,16.33,0.03,0.03,0.003,0.06,0.06,0.76,0.007,0.007,0.73,0.01,0.01,K4.5V,3.8,3.7,3.7,4640.0,100.0,100.0,,,"HD 21749, TOI-186"
GJ 3473 b,Confirmed,0.00585,0.0009,0.0009,,,,0.11277,0.00045,0.00045,1.1980035,1.9e-06,1.9e-06,0.01589,0.00062,0.00062,0.0,,,87.95,0.047,0.047,,2020,2020-09-23,,,,,,,,,,2458492.20408,0.00043,0.00043,,,,,,,,,,,,,2.21,0.35,0.35,773.0,16.0,16.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 3473,120.595833341,3.3388889,13.0,,,,,27.39,0.04,0.04,0.11,0.19,0.19,0.36,0.016,0.016,0.364,0.012,0.012,M4V,,,,3347.0,54.0,54.0,,,TOI-488
GJ 357 b,Confirmed,0.006566,0.00101,0.00101,,,,0.10411,0.0033,0.0033,3.93086,4e-05,4e-05,0.033,0.001,0.001,0.047,0.047,0.059,88.496,0.043,0.025,,2019,2020-07-21,220.0,70.0,70.0,2458517.99912,0.00057,0.00056,,,,2458517.9994,0.0001,0.0001,,,,,,,0.529,0.01,0.005,,,,1.84,0.23,0.23,525.0,10.0,10.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-562.01,,GJ 357,144.006821883,-21.6607995444,,,,,,9.444,0.005,0.005,-0.12,0.16,0.16,0.342,0.011,0.011,0.337,0.015,0.015,M2.5 V,,,,3505.0,51.0,51.0,,,"L 678-39, Gliese 357, TOI 562"
GJ 367  b,Confirmed,0.00047,0.00013,0.00022,,,,0.0526,0.0018,0.0018,0.3219659,4e-07,4e-07,0.0069,0.0001,0.0001,,,,,,,,2021,2022-04-07,,,,,,,,,,2458543.4874,0.0006,0.0006,,,,,,,0.09,0.07,0.07,,,,,,,1416.0,65.0,65.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,TOI-731 b,,GJ 367,146.12500001,-45.776388912,10.0,,,,,9.41,0.005,0.005,-0.01,0.12,0.12,0.454,0.011,0.011,0.457,0.013,0.013,M1,,,,3522.0,70.0,70.0,,,TOI-731
GJ 3929 b,Confirmed,0.00381,0.0013,0.0013,,,,0.1026,0.0036,0.0036,2.6162745,2.9e-06,3e-06,0.02569,0.00088,0.00088,,,,89.65,0.3,0.23,,2022,2022-02-03,,,,,,,,,,2459320.058,0.0002,0.0002,,,,,,,0.108,0.089,0.089,,,,1.23,0.43,0.43,569.0,9.0,9.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2013 b,,GJ 3929,239.579166673,35.40666668,12.0,,,,,15.83,0.006,0.006,0.0,0.16,0.16,0.309,0.014,0.014,0.35,0.01,0.01,M3.5V,,,,3369.0,51.0,51.0,,,TOI-2013
GJ 486 b,Confirmed,0.00887,0.00038,0.00038,,,,0.11643,0.00598,0.00562,1.467119,3e-05,3e-05,0.01734,0.00027,0.00027,0.05,0.05,0.0,88.4,1.4,1.4,,2021,2021-03-05,,,,,,,,,,2458931.15935,0.00042,0.00042,,,,,,,,,,,,,3.37,0.08,0.08,700.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 486,191.987500019,9.751388905,11.4,,,,,8.0761,0.0041,0.0041,0.07,0.16,0.16,0.323,0.15,0.15,0.328,0.011,0.011,M3.5V,,,,3340.0,54.0,54.0,,,
GJ 9827 b,Confirmed,0.01532,0.00116,0.00116,,,,0.13641,0.00517,0.00517,1.2089765,2.3e-06,2.3e-06,0.01866,0.0002,0.0002,0.0,,,85.8,1.0,1.0,,2017,2020-09-09,,,,,,,,,,2457738.82586,0.00026,0.00026,,,,,,,0.57,0.013,0.013,,,,4.1,0.3,0.3,1043.5,36.0,36.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 9827,352.104166695,-1.286388897,10.4,,,,,30.3,1.6,1.6,-0.28,0.12,0.12,0.659,0.06,0.06,0.651,0.065,0.065,K6V,,,,4255.0,110.0,110.0,,,
GJ 9827 c,Confirmed,0.00604,0.00154,0.00154,,,,0.107,0.0041,0.0041,3.648086,0.0001,0.0001,0.03896,0.0004,0.0004,,,,87.8,0.57,0.57,,2017,2020-09-09,,,,,,,,,,2457742.19929,0.00072,0.00072,,,,,,,0.53,0.14,0.14,,,,1.13,0.3,0.3,721.9,25.0,25.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 9827,352.104166695,-1.286388897,10.4,,,,,30.3,1.6,1.6,-0.28,0.12,0.12,0.659,0.06,0.06,0.651,0.065,0.065,K6V,,,,4255.0,110.0,110.0,,,
GJ 9827 d,Confirmed,0.01076,0.00195,0.00195,,,,0.17441,0.00669,0.00669,6.20183,1e-05,1e-05,0.0555,0.00057,0.00057,0.0,,,87.39,0.23,0.23,,2017,2020-09-09,,,,,,,,,,2457740.961,0.00045,0.00045,,,,,,,0.91,0.09,0.09,,,,1.7,0.3,0.3,604.9,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 9827,352.104166695,-1.286388897,10.4,,,,,30.3,1.6,1.6,-0.28,0.12,0.12,0.659,0.06,0.06,0.651,0.065,0.065,K6V,,,,4255.0,110.0,110.0,,,
HD 136352 b,Confirmed,0.01454,0.00142,0.00142,0.0166,0.0025,0.0025,0.13222,0.00517,0.00517,11.57779,0.001,0.001,0.0969,0.0019,0.0019,0.079,0.053,0.068,88.86,0.3,0.54,0.006304,2011,2020-07-23,172.0,67.0,67.0,2458622.4,1.9,2.1,,,,2458631.7672,0.0023,0.0023,2458625.63,2.0,2.0,,,,0.41,0.2,0.12,,,,1.4,0.13,0.13,911.0,18.0,18.0,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Primary Transit,,,HD 136352,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,nu2 Lup
HD 137496 b,Confirmed,0.01271,0.00173,0.00173,,,,0.1169,0.0054,0.0054,1.62116,7.9e-05,8.06e-05,0.02732,0.00019,0.00019,0.0,,,85.8,2.2,2.6,,2021,2021-11-30,,,,,,,,,,2458039.1317,0.0029,0.0029,,,,,,,0.27,0.17,0.14,,,,2.14,0.29,0.29,2130.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-364 b,,HD 137496,231.741666686,-16.508888906,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 20329 b,Confirmed,0.02335,0.00343,0.00343,,,,0.1534,0.0062,0.0062,0.926118,4.3e-05,5e-05,0.018,0.0003,0.0003,0.0,,,76.01,0.56,0.56,,2022,2022-11-07,,,,,,,,,,2459472.14321,0.00075,0.00082,,,,,,,0.826,0.017,0.017,,,,5.07,0.42,0.42,2000.0,130.0,130.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-4524 b,,HD 20329,49.179166681,15.657222241,8.7,,,,,63.38,,,-0.07,,,0.9,,,1.13,,,G5,11.0,,,5596.0,,,,,TOI-4524
HD 213885 b,Confirmed,0.02778,0.00208,0.00208,,,,0.15568,0.00464,0.00464,1.008035,2.1e-05,2.1e-05,0.02012,0.00012,0.00015,0.0,,,80.09,0.5,0.62,,2019,2019-03-25,,,,,,,,,,2458379.97043,0.0012,0.0012,,,,,,,0.675,0.041,0.033,,,,5.3,0.39,0.39,2128.0,14.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-141 b,,HD 213885,338.983333352,-59.864722251,8.0,,,,,57.97,0.14,0.14,-0.04,0.03,0.03,1.068,0.02,0.02,1.101,0.0075,0.008,G,3.8,0.79,0.66,5978.0,50.0,50.0,,,TOI-141
HD 219134 b,Confirmed,0.01343,0.00107,0.00107,,,,0.134,0.00509,0.00509,3.093292,1.1e-05,1.1e-05,0.037,,,0.0,0.0,0.13,85.058,0.08,0.08,,2015,2022-09-16,,,,2449999.5,0.2,0.2,,,,2458765.95501,0.00047,0.00047,,,,,,,,,,,,,1.9,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,TOI-1469 b,,HD 219134,348.320833339,57.168333338,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699.0,16.0,16.0,,,
HD 219134 c,Confirmed,0.01246,0.00107,0.00107,0.004754,0.000148,0.000148,0.12624,0.00437,0.00437,6.765159,3.6e-05,3.3e-05,0.062,,,0.0,0.0,0.26,,,,,2015,2021-02-16,,,,2449908.5,0.5,0.5,,,,2458766.16927,0.00066,0.00069,,,,,,,,,,,,,1.4,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Theoretical,Primary Transit,,,HD 219134,348.320833339,57.168333338,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699.0,16.0,16.0,,,
HD 23472 b,Confirmed,0.02618,0.00249,0.00249,,,,0.16701,0.11785,0.11785,17.667087,4.2e-05,4.2e-05,0.1162,0.0018,0.0018,0.072,0.04,0.04,88.93,0.16,0.16,,2018,2022-10-15,114.0,210.0,37.0,,,,,,,2458360.6641,0.0012,0.0012,,,,,,,0.69,0.09,0.64,,,,2.68,0.24,0.24,543.0,18.0,18.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-174 b,,HD 23472,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.04,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174
HD 23472 c,Confirmed,0.01073,0.0025,0.00277,,,,0.1668,0.0107,0.0107,29.79749,0.00014,0.00014,0.1646,0.0024,0.0018,0.063,0.043,0.054,89.1,0.007,0.009,,2018,2022-10-15,2.0,128.0,116.0,,,,,,,2458370.1037,0.0019,0.0019,,,,,,,0.785,0.054,0.043,,,,0.92,0.23,0.23,467.0,19.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-174 c,,HD 23472,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.04,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174
HD 23472 d,Confirmed,0.00173,0.0006,0.0006,,,,0.0669,0.00509,0.00598,3.97664,4.4e-05,3e-05,0.04298,0.00065,0.00065,0.07,0.05,0.05,87.95,0.87,1.2,,2019,2022-10-15,19.0,117.0,99.0,,,,,,,2458357.3898,0.006,0.006,,,,,,,0.47,0.28,0.16,,,,0.29,0.11,0.11,909.0,32.0,35.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-174 d,,HD 23472,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.04,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174
HD 23472 e,Confirmed,0.00227,0.00088,0.00088,,,,0.07298,0.0058,0.0071,7.90754,0.00011,0.00011,0.068,0.001,0.001,0.07,0.05,0.08,88.63,0.56,0.8,,2022,2022-10-22,46.0,179.0,100.0,,,,,,,,,,,,,,,,0.5,0.29,0.18,,,,0.3,-0.11,0.12,723.0,28.0,28.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-174 e,,HD 23472,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.04,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174
HD 23472 f,Confirmed,0.00242,0.0013,0.00138,,,,0.10144,0.00687,0.00749,12.1621839,9.9e-05,0.00012,,,,0.07,0.05,0.05,88.81,0.32,0.58,,2019,2022-10-15,4.0,-113.0,97.0,,,,,,,2458360.0754,0.0078,0.0049,,,,,,,0.57,-0.26,0.1,,,,0.29,0.11,0.11,630.0,27.0,27.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,T01-174 f,,HD 23472,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.04,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174
HD 260655 b,Confirmed,0.00673,0.00107,0.00107,,,,0.1106,0.0303,0.0303,2.76953,3e-05,3e-05,0.02933,0.00024,0.00024,0.039,0.023,0.043,87.35,0.14,0.14,,2022,2022-04-22,57.0,160.0,70.0,,,,,,,2459497.9102,0.0003,0.0003,,,,,,,0.665,0.024,0.024,,,,1.69,0.27,0.27,709.0,4.0,4.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-4599 b, GJ 239 b",,HD 260655,99.295833337,17.564722245,9.8,,,,,9.9976,0.002,0.002,-0.43,0.04,0.04,0.439,0.011,0.011,0.439,0.003,0.003,MOV,5.0,3.0,3.0,3803.0,10.0,10.0,,,"TOI-4599, GJ 239"
HD 260655 c,Confirmed,0.00972,0.00151,0.00151,,,,0.13677,0.0041,0.00455,5.70588,7e-05,7e-05,0.04749,0.00039,0.00039,0.038,0.022,0.036,87.79,0.08,0.08,,2022,2022-04-22,335.0,116.0,156.0,,,,,,,2459490.3646,0.0052,0.0047,,,,,,,0.89,0.008,0.008,,,,1.92,0.3,0.3,557.0,3.0,3.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-4599 c, GJ 239 c",,HD 260655,99.295833337,17.564722245,9.8,,,,,9.9976,0.002,0.002,-0.43,0.04,0.04,0.439,0.011,0.011,0.439,0.003,0.003,MOV,5.0,3.0,3.0,3803.0,10.0,10.0,,,"TOI-4599, GJ 239"
HD 3167 b,Confirmed,0.0158,0.0012,0.0012,,,,0.152,0.013,0.016,0.959624,2.8e-05,2.8e-05,0.0186,0.0003,0.0003,,,,83.4,7.7,4.6,,2016,2022-03-09,,,,,,,2457393.41539,0.00135,0.0013,2457394.37454,0.00043,0.00043,,,,6.6,6.6,7.9,0.39,0.27,0.28,,,,3.58,0.26,0.25,1669.0,52.0,52.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 220383386 b, HIP 2736 b, 2MASS J00345752+0422531 b, BD+03 68 b, EPIC 220383386.01, K2-96 b, SAO 109291 b, TYC 0013-00894-1 b, WISE J003457.60+042251.4 b",,HD 3167,8.739684,4.381469,8.94,,7.548,7.203,,47.36,0.15,0.15,-0.02,0.17,0.17,0.94,0.04,0.04,0.87,0.01,0.01,K0 V,5.0,4.0,4.0,5528.0,162.0,162.0,,,"EPIC 220383386, HIP 2736, 2MASS J00345752+0422531, BD+03 68, K2-96, SAO 109291, TYC 0013-00894-1, WISE J003457.60+042251.4"
HD 80653 b,Confirmed,0.01762,0.00135,0.00135,,,,0.144,0.006,0.006,0.719573,2.1e-05,2.1e-05,0.0166,0.0003,0.0003,,,,82.1,2.4,2.4,,2020,2021-02-05,,,,,,,2458134.4244,0.0007,0.0007,2458134.4244,0.0007,0.0007,,,,,,,0.4,0.14,0.08,,,,3.55,0.26,0.26,,,,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,"2MASS J09212142+1422046 b, EPIC 251279430 b, EPIC 251279430.01, K2-312 b, TIC 55315929 b, TYC 825-1097-1 b, WISE J092121.39+142204.3 b",,HD 80653,140.339249,14.367923,9.5,,8.315,8.079,,109.86,0.81,0.81,0.28,0.05,0.05,1.18,0.04,0.04,1.22,0.01,0.01,G2,2.67,1.2,1.2,5950.0,150.0,150.0,,,"2MASS J09212142+1422046, EPIC 251279430, K2-312, TIC 55315929, TYC 825-1097-1, WISE J092121.39+142204.3"
K2-106 b,Confirmed,0.0263,0.003,0.003,,,,0.162,0.009,0.009,0.571331,2.1e-05,2e-05,0.0134,0.0002,0.0002,0.0,,,86.4,4.1,2.5,,2016,2021-12-01,,,,,,,2457393.43716,0.00158,0.00161,2457394.0114,0.001,0.001,,,,,,,0.42,0.28,0.31,,,,6.67,0.69,0.69,2119.0,41.0,41.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 220674823 b, 2MASS J00521914+1047409 b, EPIC 220674823.01, TYC 608-458-1 b, WISE J005219.18+104740.9 b",,EPIC 220674823,13.07978,10.794699,12.1,,10.77,10.454,,246.1,2.97,2.97,0.13,0.06,0.06,0.97,0.04,0.04,0.98,0.02,0.02,G5 V,5.0,,,5617.0,86.0,86.0,,,"K2-106, TYC 608-458-1, 2MASS J00521914+1047409, WISE J005219.18+104740.9"
K2-111 b,Confirmed,0.01664,0.00242,0.00239,,,,0.162,0.008,0.01,5.3518,0.0004,0.0004,0.057,0.0012,0.0012,0.13,0.09,0.13,86.43,0.21,0.37,,2017,2021-02-05,-69.3,27.5,73.9,,,,2457100.0768,0.0018,0.0019,2457067.9704,0.0039,0.0044,,,,,,,0.309,0.216,0.292,,,,2.21,0.32,0.32,1309.0,63.0,71.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 210894022 b, 2MASS J03593351+2117552 b, EPIC 210894022.01, TIC 14227229 b, WISE J035933.62+211754.8 b",,K2-111,59.889755,21.298685,11.1,,9.768,9.477,9.4,201.7,2.7,2.7,-0.46,0.05,0.05,0.84,0.02,0.02,1.25,0.02,0.02,G2,12.3,-0.7,0.7,5775.0,60.0,60.0,,,"2MASS 03593351 + 211755, Cl* Melotte 25 PELS 9, K2-111, 2MASS J03593351+2117552, EPIC 210894022, TIC 14227229, WISE J035933.62+211754.8"
K2-133 b,Confirmed,0.0069,,,,,,0.12,0.007,0.007,3.07133,0.00011,0.00011,0.03194,0.00026,0.00025,,,,87.6,0.15,0.18,,2017,2021-02-05,,,,,,,2457821.315,0.0015,0.0016,2457821.3168,0.0014,0.0012,,,,,,,0.63,0.054,0.052,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"K2-133 b, 2MASS J04403562+2500361 b, EPIC 247887989 b, LP 358-499 b, WISE J044035.78+250035.5 b",,K2-133,70.148567,25.010006,,,11.084,10.487,,75.2,0.2,0.2,,,,0.46,0.01,0.01,0.46,0.02,0.02,M1.5 V,,,,3655.0,80.0,80.0,,,"K2-133,  EPIC 247887989, 2MASS J04403562+2500361, EPIC 247887989, LP 358-499, WISE J044035.78+250035.5"
K2-133 c,Confirmed,0.01,,,,,,0.143,0.008,0.008,4.86784,0.00012,0.00012,0.04341,0.00035,0.00034,,,,88.21,0.08,0.11,,2017,2021-02-05,,,,,,,2457823.7686,0.0011,0.0011,2457823.7656,0.0009,0.0023,,,,,,,0.64,0.047,0.046,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"K2-133  c, 2MASS J04403562+2500361 c, EPIC 247887989 c, LP 358-499 c, WISE J044035.78+250035.5 c",,K2-133,70.148567,25.010006,,,11.084,10.487,,75.2,0.2,0.2,,,,0.46,0.01,0.01,0.46,0.02,0.02,M1.5 V,,,,3655.0,80.0,80.0,,,"K2-133,  EPIC 247887989, 2MASS J04403562+2500361, EPIC 247887989, LP 358-499, WISE J044035.78+250035.5"
K2-138 b,Confirmed,0.0098,0.0035,0.0035,,,,0.14,0.015,0.025,2.35322,0.00036,0.00036,0.0338,0.00024,0.00024,0.403,0.403,0.0,86.9,4.6,2.2,,2017,2021-03-26,244.0,97.0,32.0,,,,2457773.317,0.0038,0.0037,2457773.31683,0.0009,0.0009,,,,,,,0.5,0.34,0.33,,,,1.56,0.53,0.53,1308.0,24.0,24.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,"2MASS J23154776-1050590 b, EPIC 245950175 b, WISE J231547.76-105059.0 b",,K2-138,348.949036,-10.849696,12.21,,10.756,10.384,,183.0,17.0,17.0,0.16,0.04,0.04,0.93,0.06,0.06,0.86,0.08,0.08,K1 V,,,,5378.0,60.0,60.0,,,"EPIC 245950175, 2MASS J23154776-1050590, WISE J231547.76-105059.0"
K2-141 b,Confirmed,0.01598,0.00129,0.00129,,,,0.135,0.0045,0.0045,0.2803244,1.5e-06,1.5e-06,,,,0.0,,,86.3,3.6,2.7,,2018,2021-02-05,90.0,,,,,,2457744.0716,0.00022,0.00022,2457744.0716,0.00022,0.00022,,,,,,,0.0,,,,,,6.25,0.48,0.48,2039.0,48.0,87.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 246393474 b, 2MASS J23233996-0111215 b, TYC 5244-714-1 b, WISE J232340.05-011121.1 b",,K2-141 ,350.91666668,-1.189166675,11.5,,,,,61.0,2.0,2.0,-0.06,0.1,0.08,0.708,0.028,0.028,0.681,0.018,0.018,,6.3,4.7,6.6,4599.0,79.0,79.0,,,"EPIC 246393474 , 2MASS J23233996-0111215"
K2-155 b,Confirmed,0.0148,0.0009,0.0016,,,,0.161,0.009,0.018,6.342,0.002,0.002,0.0562,0.0014,0.0013,,,,88.3,1.9,1.2,,2018,2021-02-05,,,,,,,,,,2457825.068,0.002,0.002,,,,,,,0.34,0.23,0.24,,,,,,,708.0,31.0,38.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-155 b, EPIC 210897587 b, 2MASS J04215245+2121131 b, LP 415-17 b, WISE J042152.63+212112.2 b",,K2-155,65.468697,21.3536,12.8,12.289,10.274,9.686,,82.0,12.0,29.0,-0.3,0.2,0.2,0.65,0.03,0.06,0.58,0.03,0.06,K7,,,,4258.0,150.0,150.0,,,"EPIC 210897587, 2MASS 04215245+21211, K2-155, 2MASS J04215245+2121131, LP 415-17, WISE J042152.63+212112.2"
K2-155 d,Confirmed,0.0154,0.0019,0.0053,,,,0.17,0.018,0.062,40.718,0.005,0.005,0.1937,0.0059,0.0064,,,,89.61,0.48,0.27,,2018,2021-02-05,,,,,,,,,,2457823.5,0.003,0.003,,,,,,,0.44,0.3,0.33,,,,,,,381.0,25.0,47.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 210897587 d, K2-155 d, 2MASS J04215245+2121131 d, LP 415-17 d, WISE J042152.63+212112.2 d",,K2-155,65.468697,21.3536,12.8,12.289,10.274,9.686,,82.0,12.0,29.0,-0.3,0.2,0.2,0.65,0.03,0.06,0.58,0.03,0.06,K7,,,,4258.0,150.0,150.0,,,"EPIC 210897587, 2MASS 04215245+21211, K2-155, 2MASS J04215245+2121131, LP 415-17, WISE J042152.63+212112.2"
